mode,grille_id,nb_gagnants,gain_total_euros
mode_1,1,36,244
mode_1,2,33,168
mode_1,3,50,326
mode_1,4,39,232
mode_1,5,43,220
mode_1,6,41,294
mode_1,7,43,308
mode_1,8,42,396
mode_1,9,36,176
mode_1,10,30,726
mode_1,11,33,180
mode_1,12,34,762
mode_1,13,43,314
mode_1,14,39,268
mode_1,15,42,288
mode_1,16,37,274
mode_1,17,39,248
mode_1,18,36,220
mode_1,19,38,342
mode_1,20,41,276
mode_1,21,42,232
mode_1,22,47,484
mode_1,23,42,470
mode_1,24,50,334
mode_1,25,31,188
mode_1,26,41,410
mode_1,27,28,192
mode_1,28,36,338
mode_1,29,44,300
mode_1,30,44,304
mode_1,31,38,272
mode_1,32,31,304
mode_1,33,40,344
mode_1,34,39,246
mode_1,35,40,786
mode_1,36,43,228
mode_1,37,38,204
mode_1,38,42,394
mode_1,39,50,342
mode_1,40,41,330
mode_1,41,47,244
mode_1,42,37,270
mode_1,43,34,228
mode_1,44,26,290
mode_1,45,54,358
mode_1,46,40,304
mode_1,47,32,170
mode_1,48,33,220
mode_1,49,44,310
mode_1,50,39,292
mode_2,1,32,180
mode_2,2,51,316
mode_2,3,38,220
mode_2,4,45,264
mode_2,5,43,360
mode_2,6,34,192
mode_2,7,46,578
mode_2,8,48,320
mode_2,9,44,408
mode_2,10,39,258
mode_2,11,46,290
mode_2,12,40,286
mode_2,13,30,182
mode_2,14,39,228
mode_2,15,36,236
mode_2,16,40,350
mode_2,17,44,300
mode_2,18,41,232
mode_2,19,55,302
mode_2,20,42,296
mode_2,21,35,390
mode_2,22,36,280
mode_2,23,46,274
mode_2,24,37,480
mode_2,25,47,298
mode_2,26,36,216
mode_2,27,37,216
mode_2,28,44,294
mode_2,29,38,262
mode_2,30,42,280
mode_2,31,40,242
mode_2,32,34,246
mode_2,33,37,254
mode_2,34,39,224
mode_2,35,38,330
mode_2,36,39,284
mode_2,37,35,196
mode_2,38,44,280
mode_2,39,30,164
mode_2,40,44,366
mode_2,41,46,332
mode_2,42,46,308
mode_2,43,37,206
mode_2,44,38,306
mode_2,45,43,306
mode_2,46,37,200
mode_2,47,36,232
mode_2,48,37,220
mode_2,49,43,252
mode_2,50,49,286
mode_3,1,46,432
mode_3,2,36,230
mode_3,3,35,314
mode_3,4,37,192
mode_3,5,42,254
mode_3,6,35,206
mode_3,7,40,240
mode_3,8,28,1176
mode_3,9,42,758
mode_3,10,37,180
mode_3,11,45,292
mode_3,12,32,204
mode_3,13,44,346
mode_3,14,37,216
mode_3,15,39,260
mode_3,16,45,292
mode_3,17,41,286
mode_3,18,45,244
mode_3,19,45,244
mode_3,20,43,318
mode_3,21,34,204
mode_3,22,48,356
mode_3,23,39,310
mode_3,24,51,382
mode_3,25,39,232
mode_3,26,38,250
mode_3,27,39,250
mode_3,28,40,260
mode_3,29,40,234
mode_3,30,41,316
mode_3,31,31,276
mode_3,32,41,402
mode_3,33,44,348
mode_3,34,48,254
mode_3,35,49,290
mode_3,36,29,298
mode_3,37,40,296
mode_3,38,47,294
mode_3,39,43,374
mode_3,40,36,232
mode_3,41,40,408
mode_3,42,33,208
mode_3,43,40,330
mode_3,44,47,286
mode_3,45,42,304
mode_3,46,41,266
mode_3,47,34,290
mode_3,48,52,304
mode_3,49,44,304
mode_3,50,46,318
